id,site,visit,point,length,roundness,L,a,b
S4U69,Sampiruhan,September,4,3540.79,0.523222992,85.84968761,-4.339754478,4.738356502
S5U276,Sampiruhan,September,5,1109.121,0.523034343,35.08385814,1.359351687,16.94028066
S1U39,Sampiruhan,September,1,461.564,0.520378263,61.83971209,-2.279519668,33.24389542
S5U289,Sampiruhan,September,5,3392.038,0.51918514,89.90398363,0.235797129,16.08646573
S5U202,Sampiruhan,September,5,1946.297,0.518074508,39.12342181,-3.627920242,20.46871654
S4U296,Sampiruhan,September,4,875.372,0.517569177,40.92955566,-15.52281216,-4.161030369
S4U118,Sampiruhan,September,4,1272.332,0.515871395,67.84498726,-11.97644992,13.76957387
S4U105,Sampiruhan,September,4,870.108,0.515549797,86.93154789,-21.38010786,27.62672164
S4U211,Sampiruhan,September,4,837.203,0.514747366,45.9112572,-15.17867966,21.67077498
S5U277,Sampiruhan,September,5,1733.128,0.514488905,36.54019989,3.638491379,22.61507909
S4U73,Sampiruhan,September,4,3052.013,0.512919207,82.50832761,-5.088554329,5.69674311
S4U97,Sampiruhan,September,4,1485.664,0.511130121,82.94893007,-19.52679527,5.536434543
S5U56,Sampiruhan,September,5,1762.707,0.505896371,37.80730904,-2.107648132,22.9111282
S4U387,Sampiruhan,September,4,695.809,0.505378263,37.08826201,-13.65645231,11.3248865
S5U55,Sampiruhan,September,5,3070.535,0.503962921,87.55402624,-4.467412198,2.987706331
S5U106,Sampiruhan,September,5,543.168,0.503645983,71.78905127,-5.232619138,36.2158541
S4U329,Sampiruhan,September,4,724.855,0.503071728,36.8067705,-5.404182929,30.00028169
S5U255,Sampiruhan,September,5,1898.552,0.502058049,35.92829066,-12.93694114,9.070664088
S5U136,Sampiruhan,September,5,810.665,0.500920398,80.1853204,-5.459461722,17.94337795
S4U205,Sampiruhan,September,4,749.15,0.49983987,78.57064316,-13.75041385,18.67868413
S4U99,Sampiruhan,September,4,1023.17,0.499599668,92.08034241,-9.593294425,34.01435503
S5U207,Sampiruhan,September,5,739.163,0.499482013,60.19521363,-7.132488467,42.37481867
S4U207,Sampiruhan,September,4,1599.479,0.499062773,82.54129363,-8.089759307,18.57595471
S4U302,Sampiruhan,September,4,1240.53,0.498269622,43.35914925,-8.648816006,14.18461205
S4U363,Sampiruhan,September,4,1793.738,0.495738335,40.27278918,-8.648289183,25.33802106
S5U81,Sampiruhan,September,5,1315.086,0.492564892,39.04009229,-0.276391588,23.4195271
S4U336,Sampiruhan,September,4,1119.848,0.490076917,38.97349456,-6.900025949,26.57018342
S5U112,Sampiruhan,September,5,1263.566,0.489003197,43.91460684,-6.17415158,18.60155908
S5U113,Sampiruhan,September,5,1933.027,0.488805519,39.61420597,-3.56181264,24.64710636
S5U123,Sampiruhan,September,5,4180.587,0.487971817,63.5491553,-25.82291389,-18.20726471
S4U334,Sampiruhan,September,4,894.183,0.487744889,40.43886415,-7.584544293,22.69908415
S4U102,Sampiruhan,September,4,790.089,0.486588752,80.11750946,-16.89601748,17.59332345
S2U30,Sampiruhan,September,2,4207.748,0.484907142,90.99220028,0.746115563,-1.886295858
S2U25,Sampiruhan,September,2,4326.225,0.483160098,93.34802715,0.041638936,0.041453926
S5U186,Sampiruhan,September,5,1216.233,0.482909199,60.06373138,-14.80167971,-8.548050053
S4U372,Sampiruhan,September,4,1272.402,0.479894583,36.39318315,-9.16063856,21.42105963
S3U16,Sampiruhan,September,3,1768.086,0.477393965,31.32396186,-11.03896378,-18.85434695
S5U166,Sampiruhan,September,5,1741.358,0.477239425,72.92892058,-8.932233835,17.25413686
S4U295,Sampiruhan,September,4,1071.281,0.477055092,40.54106327,-3.843480791,37.84100663
S5U242,Sampiruhan,September,5,1128.728,0.476142353,63.63971495,-0.729680799,29.73877371
S4U140,Sampiruhan,September,4,1896.161,0.475870942,74.79767775,-9.251867698,22.61370191
S4U262,Sampiruhan,September,4,1760.05,0.475562769,36.69164794,1.816622138,33.78818665
S4U163,Sampiruhan,September,4,914.052,0.473935856,67.75445202,-14.11810382,31.64100655
S4U227,Sampiruhan,September,4,1516.339,0.472929785,44.00634793,-11.08959579,34.74969502
S5U152,Sampiruhan,September,5,1771.601,0.472667725,38.30861763,-28.58499762,2.895354068
S4U246,Sampiruhan,September,4,1068.717,0.472293977,30.45874418,4.871230725,29.29410679
S4U365,Sampiruhan,September,4,1049.909,0.469681077,36.51675619,-18.09084264,21.91679578
S4U357,Sampiruhan,September,4,1042.055,0.469397223,42.58028925,-9.070507661,20.83472106
S5U190,Sampiruhan,September,5,1155.474,0.468041149,42.09711767,-13.21861795,-5.446709669
S5U149,Sampiruhan,September,5,1251.08,0.466558762,35.30114361,-24.37832611,5.453592258
S5U175,Sampiruhan,September,5,2670.165,0.465687589,40.50178215,-13.19242671,14.29512794
S1U30,Sampiruhan,September,1,2326.527,0.464990307,38.96201903,-9.831763866,9.129532745
S4U149,Sampiruhan,September,4,1914.479,0.464341093,88.63608347,-6.460046826,22.53763811
S4U411,Sampiruhan,September,4,2894.492,0.462358538,76.4967471,-26.81509908,-3.610604966
S4U326,Sampiruhan,September,4,1774.536,0.462045655,38.4316585,-13.16551724,12.61314645
S5U126,Sampiruhan,September,5,1698.143,0.461945657,41.93910447,-14.55078777,-2.631334609
S5U83,Sampiruhan,September,5,1645.373,0.460868038,61.00426898,-5.400694802,21.56841698
S5U27,Sampiruhan,September,5,3488.029,0.46062539,85.80509524,-4.857339049,7.337747217
S5U185,Sampiruhan,September,5,1657.771,0.459437245,17.04189366,23.72582141,-47.52029177
S5U148,Sampiruhan,September,5,669.537,0.459028294,32.57445643,-25.71844292,1.463761069
S5U132,Sampiruhan,September,5,1019.699,0.458415261,41.99958736,-8.417219646,28.67534029
S5U172,Sampiruhan,September,5,1723.011,0.457014237,41.03458304,-10.30459362,15.10613316
S4U361,Sampiruhan,September,4,1391.907,0.456334577,36.46463814,-4.825730009,26.85856895
S5U8,Sampiruhan,September,5,1869.884,0.454374782,38.92335427,-19.72766276,9.490964215
S5U140,Sampiruhan,September,5,1957.147,0.454154879,40.99186394,0.769234407,27.71909041
S4U181,Sampiruhan,September,4,732.119,0.453800635,39.96712882,-8.79827929,8.744950367
S4U154,Sampiruhan,September,4,1948.341,0.452899917,40.42052987,-3.699201395,25.11609707
S5U122,Sampiruhan,September,5,2824.718,0.451363247,32.81163246,-5.385143879,16.11414085
S4U148,Sampiruhan,September,4,1059.798,0.451280962,80.06514411,-6.973888262,27.88655258
S4U261,Sampiruhan,September,4,1672.023,0.450752201,64.49484282,-2.016040048,29.22127698
S4U124,Sampiruhan,September,4,1026.688,0.447109943,42.34377888,-8.36343134,1.762518441
S4U208,Sampiruhan,September,4,2213.088,0.443993917,72.80625281,-14.22371146,52.90627737
S4U206,Sampiruhan,September,4,1320.986,0.440587223,58.26148129,-15.60536767,0.84058185
S5U288,Sampiruhan,September,5,1763.951,0.440546819,42.77139711,-6.906089756,8.539129453
S4U199,Sampiruhan,September,4,2354.489,0.440081323,70.67589425,-10.30974695,10.11997493
S2U37,Sampiruhan,September,2,1257.968,0.439797964,41.50464342,-11.23165384,6.003265789
S4U384,Sampiruhan,September,4,1905.097,0.438236414,35.45850776,-3.979126728,34.97526392
S3U14,Sampiruhan,September,3,1054.549,0.4381579,33.50621661,-13.64601383,-16.11572854
S4U360,Sampiruhan,September,4,1544.418,0.437049269,37.79244751,-9.177542766,34.05481669
S5U99,Sampiruhan,September,5,1084.793,0.436928278,31.69455719,6.083098195,35.79291582
S4U301,Sampiruhan,September,4,1299.125,0.43637082,39.64461653,-5.419826095,24.04785012
S4U380,Sampiruhan,September,4,756.253,0.435028294,40.55511717,-9.185152016,23.38690001
S5U66,Sampiruhan,September,5,1737.453,0.433890803,63.93877965,-26.47077496,1.065877733
S4U146,Sampiruhan,September,4,1309.866,0.433277328,81.74413261,-3.413536546,20.75340559
S5U52,Sampiruhan,September,5,3578.864,0.432996555,84.4395417,-20.53149965,1.283394002
S4U134,Sampiruhan,September,4,1030.743,0.432928108,37.86037574,-23.38440248,4.186456953
S4U264,Sampiruhan,September,4,607.394,0.43184396,63.82857929,-26.97292133,-14.96433254
S2U34,Sampiruhan,September,2,1401.81,0.430849105,40.48458359,-16.79860607,3.180885566
S4D18,Sampiruhan,September,4,1936.943,0.429392209,34.92191021,-13.30130275,-12.65218037
