Data ID:;D:\mrolf2\ML2_5-20_1-64_4v5\ML-2_5-20_1-64_4v5.ilab
Date of Export:;2021-02-06 14:33:03
Classes:;24
Particles on File:;18341

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;1
;2;PET;PET;1
;3;PA;PA;0
;4;PC;PC;0
;5;PMMA;PMMA;1
;6;PVC;PVC;2
;7;PE;PE;34
;8;PP;PP;8
;9;POM;POM;0
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;21
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;1
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;13777
;22;Non-Polymer;Non-Polymer;4495
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;69

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;polymere?;Form;Farbe;Länge;Breite;Kommentar
;00058;94;11477,6349999985;12;PS;576;174;576;587;170;181;581,000000000000;177,000000000000;-0,68535503450273;0,72820908857399;13,7220771076904;10,2953019351768;1,33284843845182;133,263534999457;0,77097225216910;0,72785747062190;OK;"ja";"Kugel";"transparent";"203";"203";""
;00059;92;11233,4299999985;12;PS;576;988;576;586;986;997;582,000000000000;993,000000000000;0,95332326493099;-0,30195157317244;12,3449420883446;10,8351842224822;1,13933845838355;162,425143095909;0,83592154074074;0,70947266701554;OK;"ja";"Kugel";"transparent";"183";"183";""
;00060;59;7204,04749999905;12;PS;577;66;577;589;63;69;584,000000000000;67,0000000000000;0,99184325982229;0,12746351613343;12,9021191178674;6,82359604280030;1,89080933820528;7,32304308444416;0,48121969777778;0,82596096825716;OK;"ja";"Fragment";"transparent";"161";"83";""
;00064;15;1831,53749999976;12;PS;715;853;715;719;853;856;718,000000000000;855,000000000000;0,99908624478614;4,27396242276942E-02;5,08182422759990;4,08273798281380;1,24470986112548;2,44954622689388;0,84355555555556;0,86134962370775;OK;"ja";"Kugel";"transparent";"57";"57";""
;00065;54;6593,53499999913;12;PS;739;877;739;749;874;882;745,000000000000;878,000000000000;0,86018973860921;-0,50997413031586;10,4313885604529;8,55125056121210;1,21986702246441;149,337893408759;0,88352711111111;0,82843539834743;OK;"ja";"Fragment";"transparent";"170";"137";""
;00066;1;122,102499999984;12;PS;740;882;740;740;882;882;741,000000000000;883,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,53475555555556;0,44750600233318;;"";"";"";"";"";""
;00067;31;3785,17749999950;12;PS;752;878;752;757;877;884;755,000000000000;882,000000000000;0,32820820677584;0,94460540597913;8,26865425540541;5,43483803746824;1,52141686622501;70,8399430316113;1,00000000000000;0,78152876954248;OK;"ja";"Kugel";"transparent";"95";"95";""
;00068;12;1465,22999999981;12;PS;820;208;820;823;208;211;822,000000000000;211,000000000000;0,94027157768311;-0,34042526375302;4,84209052430845;4,50166526055546;1,07562207406576;160,097214453867;0,97351111111111;0,73996555288895;OK;"ja";"Kugel";"transparent";"79";"79";""
;00069;3;366,307499999952;12;PS;925;601;925;926;601;602;926,000000000000;603,000000000000;0,70710678118655;0,70710678118655;2,41421356237333;1,70710678118655;1,41421356237323;45,0000000000000;0,63511514074074;0,74916185731271;OK;"ja";"Kugel";"transparent";"51";"51";""
;00070;9;1098,92249999986;12;PS;937;243;937;940;242;245;940,000000000000;244,000000000000;0,44721359549996;0,89442719099992;4,13049516849981;3,68328157299970;1,12141716201618;63,4349488229220;0,87088140641975;0,77347665108077;OK;"ja";"Kugel";"transparent";"80";"80";""
;00071;9;1098,92249999986;12;PS;950;335;950;952;335;338;952,000000000000;337,000000000000;-0,13273315102541;0,99115181007698;4,10618858125636;3,24776992220484;1,26431018194440;97,6275593515289;0,88265007407407;0,73740511293146;OK;"ja";"Kugel";"transparent";"61";"61";""
;00072;1;122,102499999984;18;EVOH;325;842;325;325;842;842;326,000000000000;843,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44268152098765;0,80063608027571;;"";"";"";"";"";""
