MP identifier,Coordinates [pixels],Coordinates [µm],,,Polymer group,Number of pixels [-],Area on map [µm²],Major dimension [µm],Minor dimension [µm],Volume [µm³],Mass [ng],Sampling_Site,Sample_replicate,Sampling_Period
MP_10,[1440,141],[7920,776],pp,81,2450.3,115.1,27.1,26568.598,25.24017,Opukasjärvi 2 (S6),1,July2021
MP_11,[1644,875],[9042,4813],pp,43,1300.8,51,32.5,16894.246,16.04953,Opukasjärvi 2 (S6),1,July2021
MP_12,[1801,1320],[9906,7260],pp,23,695.8,35.1,25.2,7020.075,6.66907,Opukasjärvi 2 (S6),1,July2021
MP_13,[88,961],[484,5286],pp,171,5172.8,128.9,51.1,105760.914,100.47287,Opukasjärvi 2 (S6),1,July2021
MP_14,[432,1847],[2376,10159],pp,115,3478.8,105.2,42.1,58610.191,55.67968,Opukasjärvi 2 (S6),1,July2021
MP_15,[603,511],[3317,2811],pp,68,2057,81.4,32.2,26477.473,25.1536,Opukasjärvi 2 (S6),1,July2021
MP_16,[900,61],[4950,336],pp,172,5203,146.2,45.3,94292.977,89.57833,Opukasjärvi 2 (S6),1,July2021
MP_17,[905,37],[4978,204],pp,38,1149.5,74.3,19.7,9057.229,8.60437,Opukasjärvi 2 (S6),1,July2021
MP_18,[1235,853],[6793,4692],pp,186,5626.5,127.9,56,126052.008,119.74941,Opukasjärvi 2 (S6),1,July2021
MP_19,[1253,113],[6892,622],pp,73,2208.3,69.6,40.4,35661.938,33.87884,Opukasjärvi 2 (S6),1,July2021
MP_20,[1613,476],[8872,2618],pp,30,907.5,51.7,22.4,8117.064,7.71121,Opukasjärvi 2 (S6),1,July2021
MP_21,[2005,1064],[11028,5852],pp,31,937.8,56,21.3,7991.8,7.59221,Opukasjärvi 2 (S6),1,July2021
MP_22,[2237,1322],[12304,7271],pp,19,574.8,35.1,20.8,4790.638,4.55111,Opukasjärvi 2 (S6),1,July2021
MP_23,[581,285],[3196,1568],pp,100,3025,74,52.1,63001.02,59.85097,Opukasjärvi 2 (S6),1,July2021
MP_24,[406,976],[2233,5368],pmma,324,9801,183.9,67.9,266020.406,313.90406,Opukasjärvi 2 (S6),1,July2021
