Data ID:;D:\mrolf2\ML1\ML1.1_5-20_1-32_4v5\ML1.1_5-20_1-32_4v5.ilab
Date of Export:;2021-02-06 11:51:01
Classes:;24
Particles on File:;14517

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;11
;2;PET;PET;9
;3;PA;PA;0
;4;PC;PC;0
;5;PMMA;PMMA;0
;6;PVC;PVC;9
;7;PE;PE;38
;8;PP;PP;28
;9;POM;POM;0
;10;ABS;ABS;1
;11;PAN;PAN;0
;12;PS;PS;5
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;7121
;22;Non-Polymer;Non-Polymer;7295
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;101

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;polymere?;Form;Farbe;Länge;Breite;Kommentar
;00050;45;5494,61249999747;7;PE;225;525;225;232;522;534;231,000000000000;528,000000000000;0,26949610476718;0,96300147949799;12,5560177539760;8,54949867078747;1,46862620107519;74,3657156421509;0,42990250666667;0,53380096101998;;"";"";"";"";"";""
;00051;1;122,102499999944;7;PE;225;530;225;225;530;530;226,000000000000;531,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37027930998101;0,55455548113494;;"";"";"";"";"";""
;00052;1;122,102499999944;7;PE;225;535;225;225;535;535;226,000000000000;536,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,27716266666667;0,54828033993357;;"";"";"";"";"";""
;00053;1;122,102499999944;7;PE;226;534;226;226;534;534;227,000000000000;535,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39899572148148;0,57858584447830;;"";"";"";"";"";""
;00054;1;122,102499999944;7;PE;229;535;229;229;535;535;230,000000000000;536,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,51593931299819;0,58385480609024;;"";"";"";"";"";""
;00055;1;122,102499999944;7;PE;231;539;231;231;539;539;232,000000000000;540,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46400000000000;0,24435925696845;;"";"";"";"";"";""
;00056;1;122,102499999944;7;PE;297;492;297;297;492;492;298,000000000000;493,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44634870518518;0,48349312714612;;"";"";"";"";"";""
;00057;6;732,614999999662;7;PE;298;489;298;300;488;490;300,000000000000;490,000000000000;0,70710678118655;0,70710678118655;3,12132034355966;2,41421356237311;1,29289321881345;45,0000000000000;0,76160000000000;0,95201176756788;OK;"ja";"Fragment";"transparent";"109";"74";""
;00058;1;122,102499999944;7;PE;298;906;298;298;906;906;299,000000000000;907,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48948255604938;9,98490342638963E-02;;"";"";"";"";"";""
;00059;1;122,102499999944;7;PE;303;418;303;303;418;418;304,000000000000;419,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42097777777778;2,75362348966968E-02;;"";"";"";"";"";""
;00060;1;122,102499999944;7;PE;391;186;391;391;186;186;392,000000000000;187,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,51148800000000;0,18335268840119;;"";"";"";"";"";""
;00061;1;122,102499999944;7;PE;481;115;481;481;115;115;482,000000000000;116,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42034911762963;0,17635209647715;;"";"";"";"";"";""
;00062;2;244,204999999887;7;PE;531;126;531;532;126;126;532,000000000000;127,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,41154787555556;8,38895195568164E-02;;"";"";"";"";"";""
;00063;1;122,102499999944;7;PE;595;238;595;595;238;238;596,000000000000;239,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40320000000000;1,41692160935289E-02;;"";"";"";"";"";""
;00064;1;122,102499999944;7;PE;652;483;652;652;483;483;653,000000000000;484,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47605570370370;0,15952659489352;;"";"";"";"";"";""
;00065;226;27595,1649999873;7;PE;733;375;733;753;367;384;743,000000000000;377,000000000000;0,99382276302454;0,11097889751785;20,9874341580086;17,6730291763814;1,18754028800318;6,37174778575114;0,66687089777778;0,96006031874621;OK;"ja";"Fragment";"transparent";"261";"189";""
;00066;1;122,102499999944;7;PE;739;416;739;739;416;416;740,000000000000;417,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44997846913580;0,14384429271671;;"";"";"";"";"";""
