Sampling_Site,Sample_ID,MP identifier,Coordinates [pixels],,Coordinates [µm],,Polymer group,Number of pixels [-],Area on map [µm²],Major dimension [µm],Minor dimension [µm],Volume [µm³],Mass [ng]
N9,N9/2,MP_5,[82,1498],[451,8239],pe,21,635.3,55.3,14.6,3716.191,3.53038
N9,N9/2,MP_6,[442,1824],[2431,10032],pe,37,1119.3,55.8,25.6,11442.8,10.87066
N9,N9/2,MP_7,[490,226],[2695,1243],pe,9,272.3,22.9,15.1,1648.968,1.56652
N9,N9/2,MP_8,[599,1332],[3295,7326],pe,24,726,42.4,21.8,6331.805,6.01521
N9,N9/2,MP_9,[782,2120],[4301,11660],pe,156,4719,145.1,41.4,78177.484,74.26861
N9,N9/2,MP_10,[2031,1461],[11171,8036],pe,18,544.5,33.5,20.7,4501.354,4.27629
N10,N10/1,MP_1,[2106,491],[11583,2701],pp,181,5475.3,152.7,45.7,99984.07,94.98487
N10,N10/2,MP_1,[1405,1161],[7728,6386],pet,92,2783,119.6,29.6,32977.152,45.50847
N10,N10/2,MP_2,[842,1434],[4631,7887],pe,20,605,37.6,20.5,4961.774,4.71369
N11,N11,MP_1,[751,2151],[4131,11831],pet,51,1542.8,61.3,32,19770.096,27.28273
N11,N11,MP_2,[1081,266],[5946,1463],pe,43,1300.8,56.2,29.5,15330.756,14.56422
N11,N11,MP_3,[1545,1979],[8498,10885],pe,69,2087.3,64.9,41,34206.922,32.49658
N11,N11,MP_4,[859,1702],[4725,9361],ps,94,2843.5,131.7,27.5,31267.73,32.51844
N11,N11,MP_5,[1404,821],[7722,4516],pp,233,7048.3,166.4,53.9,152036.531,144.4347
N11,N11,MP_6,[1055,2033],[5803,11182],pp,262,7925.5,204,49.5,156852.797,149.01016
N11,N11,MP_7,[1270,1103],[6985,6067],pp,98,2964.5,102.3,36.9,43770.43,41.58191
N12,N12/1,MP_1,[1755,516],[9653,2838],pe,26,786.5,41.6,24.1,7581.101,7.20205
N12,N12/1,MP_2,[1154,1128],[6347,6204],pp,26,786.5,50.3,19.9,6257.241,5.94438
N12,N12/1,MP_3,[1186,653],[6523,3592],pp,10,302.5,22.9,16.8,2035.763,1.93397
N12,N12/2,MP_1,[886,1647],[4873,9059],pet,15,453.8,28.2,20.5,3721.409,5.13554
N12,N12/2,MP_2,[101,2130],[556,11715],pp,125,3781.3,143.2,33.6,50856.813,48.31397
N13,N13,MP_1,[1403,719],[7717,3955],pet,90,2722.5,131.7,26.3,28663.266,39.5553
N13,N13,MP_2,[380,412],[2090,2266],pe,862,26075.5,288.3,115.2,1201206.375,1141.146
