Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML1.1_0-5_1-8_3v5\ML1_1_0-5_1-8_3v5.ilab
Date of Export:;2021-04-20 11:27:59
Classes:;24
Particles on File:;12504

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;22
;2;PET;PET;5
;3;PA;PA;5
;4;PC;PC;2
;5;PMMA;PMMA;26
;6;PVC;PVC;23
;7;PE;PE;305
;8;PP;PP;182
;9;POM;POM;13
;10;ABS;ABS;1
;11;PAN;PAN;0
;12;PS;PS;73
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;52
;17;PEEK;PEEK;0
;18;EVOH;EVOH;1
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;3924
;22;Non-Polymer;Non-Polymer;7869
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;1

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;711

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;polymer;shape;length;width;comment
;00075;4;488,409999999775;6;PVC;499;761;499;500;761;762;500;762;1,00000000000000;0,00000000000000;2,00000000000000;2,00000000000000;1,00000000000000;0,00000000000000;0,52605383111111;0,64231884131594;OK;"";"unidentified";"22";"22";""
;00076;16;1953,63999999910;6;PVC;551;888;551;556;886;890;554;888;0,86542437557200;-0,50103956946115;6,46585578013259;3,73292789006632;1,73211376446324;149,931198772050;0,54714311111111;0,36826724375331;OK;"";"fragment";"118";"79";""
;00077;1;122,102499999944;6;PVC;556;889;556;556;889;889;556;889;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43786366419753;0,00000000000000;;"";"";"";"";""
;00078;1;122,102499999944;6;PVC;558;887;558;558;887;887;558;887;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48860431324883;0,21407825002859;;"";"";"";"";""
;00079;1;122,102499999944;6;PVC;575;841;575;575;841;841;575;841;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41623943901235;0,17955429485021;;"";"";"";"";""
;00080;34;4151,48499999809;6;PVC;590;430;590;597;427;433;594;430;0,85873188971778;0,51242515705392;8,03597354213218;6,31850976269669;1,27181469111199;30,8255036770338;0,64796899555556;0,55276051309407;OK;"";"fragment";"118";"83";""
;00081;3;366,307499999831;6;PVC;616;639;616;617;639;640;616;639;0,70710678118655;-0,70710678118655;2,41421356237311;1,70710678118655;1,41421356237310;135,000000000000;0,56000000000000;0,37220339681028;OK;"";"fragment";"133";"90";""
;00082;3;366,307499999831;6;PVC;618;636;618;619;636;637;618;637;0,70710678118655;0,70710678118655;2,41421356237311;1,70710678118650;1,41421356237315;45,0000000000000;0,44333283555556;0,21344599346518;;"";"";"";"";""
;00083;31;3785,17749999826;6;PVC;763;839;763;770;834;841;767;838;6,14382201362110E-02;0,99811088818152;8,04821443740684;7,92533799713442;1,01550425235073;86,4776309562676;0,80476918518519;0,63560468227277;OK;"";"fragment";"124";"99";""
;00084;14;1709,43499999921;7;PE;25;543;25;31;542;544;28;543;0,98067103082192;0,19566381706048;7,07969000199196;3,54833351282525;1,99521549380937;11,2835045389373;0,51509437629630;0,88976277440571;;"";"";"";"";""
