Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML1.1_0-5_1-8_4v5\ML 1.1 0-5 1-8 4v5.ilab
Date of Export:;2021-05-07 11:38:24
Classes:;24
Particles on File:;62037

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;13
;2;PET;PET;1
;3;PA;PA;0
;4;PC;PC;3
;5;PMMA;PMMA;18
;6;PVC;PVC;5
;7;PE;PE;152
;8;PP;PP;139
;9;POM;POM;47
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;23
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;31
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;8
;21;Substrat;Substrate;55048
;22;Non-Polymer;Non-Polymer;6549
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;440

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;Polymer?;Shape;Length;Width
;00081;2;244,204999999887;7;PE;242;834;242;243;834;834;242;834;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,45994666666667;0,00000000000000;;"";"";"0";"0"
;00082;1;122,102499999944;7;PE;251;371;251;251;371;371;251;371;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44586666666667;0,00000000000000;;"";"";"0";"0"
;00083;2;244,204999999887;7;PE;252;889;252;252;889;890;252;890;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,69333333333333;0,00000000000000;;"";"";"0";"0"
;00084;42;5128,30499999764;7;PE;255;371;255;262;369;377;259;373;0,17725891261414;0,98416425351607;9,40509076597095;7,08224443371063;1,32798166654682;79,7898602511100;0,68053333333333;0,00000000000000;OK;"";"fragment";"459";"119"
;00085;7;854,717499999606;7;PE;255;418;255;258;418;420;257;419;0,99659267602972;8,24805315448933E-02;4,07225855963412;3,07566588360430;1,32402501238592;4,73116110401281;0,66088507087207;0,00000000000000;;"";"";"0";"0"
;00086;11;1343,12749999938;7;PE;258;338;258;261;338;340;259;339;0,96560575459400;0,26001062804231;4,41683851986659;3,45123276527266;1,27978575201016;15,0706927760377;0,57387690666667;0,00000000000000;OK;"";"fragment";"130";"88"
;00087;13;1587,33249999927;7;PE;273;325;273;276;325;328;275;326;0,70710678118655;0,70710678118655;5,24264068711932;3,82842712474621;1,36939806251813;45,0000000000000;0,64373333333333;0,00000000000000;;"";"";"0";"0"
;00088;9;1098,92249999949;7;PE;296;918;296;299;918;920;297;919;0,99115181007698;-0,13273315102541;4,10618858125630;3,24776992220484;1,26431018194438;172,372440648471;0,70690582457205;0,00000000000000;OK;"";"fragment";"233";"113"
;00089;2;244,204999999887;7;PE;319;291;319;319;291;292;319;292;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,33134380302538;0,00000000000000;;"";"";"0";"0"
;00090;1;122,102499999944;7;PE;360;574;360;360;574;574;360;574;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46856834886584;0,00000000000000;;"";"";"0";"0"
