Data ID:;D:\mrolf2\Blanks\FB_PW3_ML1_1v2\FB_PW3_ML1_1v2\FB PW 3 ML1-1_1v2.ilab
Date of Export:;2020-07-15 17:41:18
Classes:;24
Particles:;59476

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;14
;2;PET;PET;10
;3;PA;PA;2
;4;PC;PC;1
;5;PMMA;PMMA;9
;6;PVC;PVC;34
;7;PE;PE;4
;8;PP;PP;6
;9;POM;POM;2
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;5
;13;PBT;PBT;4
;14;PPSU;PPSU;11
;15;CA;CA;0
;16;EVAc;EVAc;2
;17;PEEK;PEEK;0
;18;EVOH;EVOH;1
;19;PSU;PSU;3
;20;SILICONE;SI;6
;21;Substrat;Substrate;52004
;22;Non-Polymer;Non-Polymer;7358
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]

Particle Properties:
;Particle;Size;Class Idx;Class Name;XPos;YPos;Left Edge;Right Edge;Bottom Edge;Top Edge;CenterX;CenterY;PC1LdX;PC1LdY;Length;Width;Aspect;Direction;Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00055;3;6;PVC;580;197;580;581;197;198;581,000000000000;199,000000000000;0,70710678118655;0,70710678118655;2,41421356237311;1,70710678118655;1,41421356237310;45,0000000000000;0,33235415967078;3,34577068310500E-02;;"";"";"";"";"";""
;00056;1;6;PVC;581;196;581;581;196;196;582,000000000000;197,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,55990044444444;0,26508264277303;;"";"";"";"";"";""
;00057;1;6;PVC;588;269;588;588;269;269;589,000000000000;270,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49930533968066;0,24260450481078;;"";"";"";"";"";""
;00058;2;6;PVC;594;271;594;595;271;271;596,000000000000;272,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,27110968888889;8,87120196224571E-02;;"";"";"";"";"";""
;00059;3;6;PVC;600;322;600;601;322;323;601,000000000000;323,000000000000;-0,70710678118655;0,70710678118655;2,41421356237311;1,70710678118655;1,41421356237310;135,000000000000;0,47940949333333;0,36263957090268;;"";"";"";"";"";""
;00060;1;6;PVC;601;290;601;601;290;290;602,000000000000;291,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36991017971358;0,21613211876780;;"";"";"";"";"";""
;00061;3;6;PVC;670;123;670;672;123;123;672,000000000000;124,000000000000;1,00000000000000;0,00000000000000;3,00000000000000;1,00000000000000;3,00000000000000;0,00000000000000;0,42799407407407;0,38153453540435;;"";"";"";"";"";""
;00062;2;6;PVC;726;418;726;727;418;418;728,000000000000;419,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,38137362962963;0,55420876592737;;"";"";"";"";"";""
;00063;1;6;PVC;755;361;755;755;361;361;756,000000000000;362,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47272296296296;0,16731684978877;;"";"";"";"";"";""
;00064;9;6;PVC;756;360;756;760;359;361;759,000000000000;361,000000000000;0,97014250014533;-0,24253562503633;5,12310562561765;3,18282062532705;1,60961179679776;165,963756532074;0,40975170370370;6,64866533632269E-02;;"";"";"";"";"";""
