Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML1.1_0-5_1-8_1v5\ML1.1 0-5 1-8 1v5.ilab
Date of Export:;2021-05-07 16:52:09
Classes:;24
Particles on File:;6745

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;84
;2;PET;PET;9
;3;PA;PA;9
;4;PC;PC;8
;5;PMMA;PMMA;51
;6;PVC;PVC;41
;7;PE;PE;594
;8;PP;PP;281
;9;POM;POM;17
;10;ABS;ABS;6
;11;PAN;PAN;1
;12;PS;PS;102
;13;PBT;PBT;2
;14;PPSU;PPSU;0
;15;CA;CA;3
;16;EVAc;EVAc;207
;17;PEEK;PEEK;0
;18;EVOH;EVOH;6
;19;PSU;PSU;0
;20;SILICONE;SI;6
;21;Substrat;Substrate;0
;22;Non-Polymer;Non-Polymer;5318
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;1427

Particle Properties:
;Particle;Size [px];Area [µm≤];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [∞];Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00075;1;122,102499999944;1;PU;840;659;840;840;659;659;840;659;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45297777777778;0,30143492954225;;"";"";"";"";"";""
;00076;1;122,102499999944;1;PU;853;431;853;853;431;431;853;431;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,29697014497280;0,27630672252608;;"";"";"";"";"";""
;00077;1;122,102499999944;1;PU;856;280;856;856;280;280;856;280;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,53760000000000;0,24953222660952;;"";"";"";"";"";""
;00078;1;122,102499999944;1;PU;905;770;905;905;770;770;905;770;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39535502222222;0,00000000000000;;"";"";"";"";"";""
;00079;1;122,102499999944;1;PU;906;333;906;906;333;333;906;333;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38821205333333;7,44601935110215E-02;;"";"";"";"";"";""
;00080;1;122,102499999944;1;PU;923;524;923;923;524;524;923;524;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39699638887243;0,18810798562357;;"";"";"";"";"";""
;00081;1;122,102499999944;1;PU;936;373;936;936;373;373;936;373;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47991466666667;0,13382968924771;;"";"";"";"";"";""
;00082;1;122,102499999944;1;PU;957;478;957;957;478;478;957;478;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45466492181842;0,26986018888730;;"";"";"";"";"";""
;00083;1;122,102499999944;1;PU;972;420;972;972;420;420;972;420;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44954276813736;0,31060478387083;;"";"";"";"";"";""
;00084;8;976,819999999550;1;PU;972;422;972;975;422;426;973;425;0,55856207979747;0,82946271948312;5,99353711732499;2,92982607865190;2,04569723813872;56,0435858016142;0,54257019259259;0,48507645430101;;"";"";"";"";"";""
;00085;1;122,102499999944;2;PET;245;786;245;245;786;786;245;786;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,29835221357909;9,41484515136663E-02;;"";"";"";"";"";""
;00086;1;122,102499999944;2;PET;321;655;321;321;655;655;321;655;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40573228594843;0,00000000000000;;"";"";"";"";"";""
;00087;1;122,102499999944;2;PET;522;348;522;522;348;348;522;348;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,29066609686359;0,41111364695667;;"";"";"";"";"";""
;00088;1;122,102499999944;2;PET;524;349;524;524;349;349;524;349;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47542423703704;0,47152493330107;;"";"";"";"";"";""
;00089;1;122,102499999944;2;PET;577;800;577;577;800;800;577;800;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47326321777778;0,25293718723249;;"";"";"";"";"";""
;00090;1;122,102499999944;2;PET;671;672;671;671;672;672;671;672;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,34668576461938;0,12019914258581;;"";"";"";"";"";""
