Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML1.1_0-5_1-8_2v5\ML1.1_0-5_1-8_2v5.ilab
Date of Export:;2021-05-07 11:52:05
Classes:;24
Particles on File:;5398

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;16
;2;PET;PET;4
;3;PA;PA;2
;4;PC;PC;0
;5;PMMA;PMMA;52
;6;PVC;PVC;30
;7;PE;PE;264
;8;PP;PP;150
;9;POM;POM;3
;10;ABS;ABS;6
;11;PAN;PAN;0
;12;PS;PS;166
;13;PBT;PBT;1
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;100
;17;PEEK;PEEK;0
;18;EVOH;EVOH;2
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;0
;22;Non-Polymer;Non-Polymer;4599
;23;PLA;PLA;2
;24;PLA-PBAT;PLAPBAT;1

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;799

Particle Properties:
;Particle;Size [px];Area [µm≤];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [∞];Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00073;9;1098,92249999986;5;PMMA;741;850;741;744;847;850;743;849;-0,64962967394008;0,76025080515347;4,58001176334068;3,05951015303367;1,49697550727176;130,513686692552;0,34183963163286;0,53753882431141;OK;"ja";"Kugel";"";"87";"87";""
;00074;1;122,102499999984;5;PMMA;742;852;742;742;852;852;742;852;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37283139128889;0,32264079509278;;"";"";"";"";"";""
;00075;13;1587,33249999979;5;PMMA;931;307;931;936;306;310;933;308;0,81276210197649;0,58259571367352;6,81159765090308;3,20811991762650;2,12323660767101;35,6333191785416;0,41045333333333;0,60095062426792;OK;"ja";"Fragment";"grau";"92";"42";""
;00076;1;122,102499999984;5;PMMA;936;306;936;936;306;306;936;306;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39840867768638;0,45199210077058;;"";"";"";"";"";""
;00077;1;122,102499999984;6;PVC;132;635;132;132;635;635;132;635;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41569185185185;0,50643350709912;;"";"";"";"";"";""
;00078;1;122,102499999984;6;PVC;135;633;135;135;633;633;135;633;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,63352353290535;0,62891650038860;;"";"";"";"";"";""
;00079;1;122,102499999984;6;PVC;153;510;153;153;510;510;153;510;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45739620405332;0,17467297628443;;"";"";"";"";"";""
;00080;1;122,102499999984;6;PVC;277;724;277;277;724;724;277;724;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40528773039930;4,16752056866124E-02;;"";"";"";"";"";""
;00081;1;122,102499999984;6;PVC;278;732;278;278;732;732;278;732;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39978856296296;0,36103719455681;;"";"";"";"";"";""
;00082;1;122,102499999984;6;PVC;279;731;279;279;731;731;279;731;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48359532215309;0,13795995879049;;"";"";"";"";"";""
